债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
25国开20,99.06,1.979,0.55,1.9772,2935.4
26农发01,99.99,1.506,-0.4,1.5069,1608.2
25超长特别国债06,97.14,2.284,1.4,2.2766,704.045
26附息国债02,100.53,2.355,2.2,2.2945,661.123
25国开15,97.53,1.944,0.4,1.9423,321.5
25超长特别国债02,91.24,2.294,0.5,2.2843,253.65
25附息国债16,100.17,1.81,0.25,1.8098,185.582
25国开18,100.23,1.7375,0.44,1.7367,163.9
25农发30,98.77,1.9639,-0.58,1.9636,162.2
25进出61,99.84,1.4933,-0.17,1.4935,150.2
25农发31,99.96,1.4569,1.03,1.4503,141.8
25附息国债22,99.65,1.819,1.0,1.8142,141.6078
25附息国债25,99.87,1.68,1.0,1.6767,134.3583
26贴现国债15,99.69,1.25,-0.24,1.2498,100.2
23附息国债23,112.9,2.361,2.1,2.3493,95.62
25农发23,99.96,1.625,0.2,1.6246,90.8
26贴现国债14,99.79,1.2499,-0.25,1.2503,77.8
26光大银行CD024,98.47,1.55,,1.5524,76.0
24特别国债01,103.94,2.3775,1.75,2.3694,73.3
26国开05,99.59,1.966,-0.5,1.9676,69.1
26广发银行CD036,98.86,1.535,,1.523,68.0
18附息国债19,106.03,1.02,-1.5,1.0317,66.7495
25国开08,99.35,1.699,-0.2,1.6981,66.6
25附息国债20,100.36,1.548,0.8,1.5483,66.42
25国开11,100.01,1.4901,-0.5,1.4947,65.97
26农业银行CD030,98.46,1.5625,0.32,1.5702,64.7
23附息国债17,100.43,1.1601,1.0,1.1601,61.7
26浦发银行CD069,98.46,1.56,-0.25,1.5594,61.0
26河北债18,99.82,1.99,,1.979,56.7
25国开06,100.0,1.47,0.93,1.4589,52.3
26中信银行CD061,98.47,1.5575,-0.25,1.5582,51.0
24附息国债01,102.87,1.335,0.25,1.3345,50.1
25附息国债18,100.62,1.6775,-0.25,1.6767,48.8
26上海银行CD025,99.23,1.535,,1.5352,48.0
25附息国债24,100.01,1.3525,0.65,1.352,47.5174
21国开05,109.11,1.73,0.25,1.7291,43.5
25农发清发12,100.08,1.5275,-0.25,1.5294,42.2
26北京银行CD026,99.23,1.53,,1.53,42.0
25附息国债02,90.83,2.36,0.75,2.3378,41.3
26贴现国债10,99.79,1.2498,-0.31,1.252,40.9
24国开清发02,100.51,1.52,-0.5,1.5225,40.7
20农发04,104.93,1.705,-1.0,1.7052,40.6
21附息国债11,100.68,1.05,-0.01,1.0499,40.0
25附息国债14,100.15,1.5125,1.0,1.5113,39.9
23附息国债11,100.22,1.0197,-0.03,1.0198,39.5
25注资特别国债01,99.7,1.525,0.3,1.5247,39.337
26江苏银行CD050,98.46,1.5599,,1.56,38.0
23国开03,102.06,1.58,-0.25,1.5813,37.2
26贴现国债06,99.69,1.2499,2.0,1.2499,36.3
25贴现国债80,99.68,1.2553,-0.42,1.2553,35.8
26湖南债13,99.58,2.51,-0.48,2.5091,35.2
24特别国债06,96.13,2.3775,1.0,2.3719,34.8
25附息国债23,100.06,1.375,0.25,1.3728,34.3892
25国开02,99.98,1.535,0.5,1.5304,33.7
17附息国债25,104.89,0.82,1.0,0.82,33.0
25农业银行CD437,99.6,1.4271,-0.87,1.4346,33.0
25国开14,99.71,1.5733,-1.42,1.5863,32.6
25进出06,99.95,1.4549,-0.01,1.4548,32.1
26附息国债05,99.48,1.8075,0.6,1.8051,29.55
22附息国债22,101.85,1.2325,0.26,1.2325,29.0
26河北债19,99.82,1.99,,1.9817,28.7
24附息国债05,100.01,0.8537,1.19,0.8473,28.6
25附息国债10,100.31,1.317,-0.3,1.3184,28.361
25附息国债06,100.3,1.285,0.5,1.2854,28.1346
25中行二级资本债02BC,100.32,2.1232,-0.05,2.1212,28.1
24国开08,100.62,1.6575,-0.25,1.66,27.7
24附息国债08,102.01,1.38,1.0,1.3799,27.55
24国开03,101.94,1.62,0.25,1.6252,27.4
23附息国债12,106.76,1.67,0.5,1.6676,27.3686
25超长特别国债03,90.02,2.45,2.0,2.4415,27.0
19附息国债07,100.6,0.7002,-2.99,0.7156,26.9678
24附息国债17,102.82,1.75,-0.26,1.7505,26.7229
24四川债09,103.36,2.35,0.73,2.3488,26.3
25国开03,98.48,1.6825,-0.75,1.6839,26.3
25长沙银行CD301,99.6,1.4414,,1.4414,26.0
25农发25,99.89,1.715,-1.0,1.7165,25.9
22国开10,106.77,1.8,-0.25,1.8039,25.7
25农发15,99.52,1.71,0.06,1.71,25.6
23国开08,101.98,1.595,0.15,1.596,24.3
23国开05,107.62,1.8475,-0.52,1.8476,24.0
26平安银行CD010,98.46,1.56,0.51,1.56,24.0
25超长特别国债05,90.3,2.36,1.0,2.3522,23.9
23附息国债18,105.79,1.69,0.5,1.6886,23.3
23附息国债22,103.16,1.3025,0.25,1.3015,23.0
26中信银行CD064,98.48,1.5449,,1.5531,23.0
25上海银行CD163,99.61,1.4408,1.0,1.4408,23.0
26农业银行CD027,98.46,1.56,1.0,1.5603,23.0
25国开10,98.87,1.9375,1.75,1.9396,22.1
25附息国债17,100.14,1.345,0.5,1.3481,21.9925
25农发11,100.01,1.4499,1.0,1.4527,21.7
22国开20,105.8,1.83,-0.5,1.8303,21.6
25中行二级资本债03A(BC),100.57,2.1542,0.46,2.1527,21.4
25农业银行CD440,99.6,1.4413,-0.02,1.4388,21.0
25附息国债07,100.88,1.635,0.75,1.6319,20.6
26福建债05,99.79,2.5,1.0,2.5077,20.3
20国开15,108.67,1.725,0.5,1.7321,20.3
26进出01,99.92,1.515,-0.75,1.5143,20.2
26河北债17,99.16,2.51,0.05,2.5062,20.1
23进出03,100.1,1.45,0.03,1.4534,20.1
26交通银行CD051,99.25,1.5249,1.0,1.5249,20.0
25光大银行CD201,98.42,1.53,0.5,1.53,20.0
23附息国债08,102.81,1.2525,0.25,1.2573,20.0
25附息国债03,99.82,1.4775,0.75,1.477,19.935
26附息国债03,99.95,1.551,0.6,1.5496,19.8721
25附息国债19,100.09,1.2251,0.27,1.2249,19.7
21附息国债07,103.92,1.17,-0.5,1.1555,19.6
24附息国债13,102.82,1.56,0.4,1.5594,19.2
21附息国债13,104.33,1.2,-2.5,1.2055,19.0
25中国银行CD028,98.77,1.4122,-1.83,1.4294,19.0
26上海银行CD024,99.23,1.5351,-0.49,1.5341,19.0
25农发21,99.97,1.4552,0.52,1.4543,18.6
20附息国债17,103.87,1.01,-1.0,1.0136,18.6
23农发15,102.29,1.6275,-0.25,1.6298,18.5
25国开05,97.11,1.93,-0.25,1.9322,18.5
26贴现国债05,99.7,1.2521,0.23,1.2548,18.3
25宁波银行CD200,99.19,1.5198,-0.56,1.5232,18.0
23天津债94,108.54,1.8849,0.99,1.8849,18.0
25北京银行CD088,98.77,1.4399,-0.96,1.4399,18.0
24附息国债18,101.46,1.59,0.25,1.5891,17.8729
26附息国债04,99.84,1.375,1.0,1.3752,17.6
26浦发银行CD061,98.46,1.56,-0.25,1.5593,17.2
22附息国债27,105.2,1.3625,-1.0,1.372,17.06
25附息国债13,100.03,1.2349,0.23,1.24,17.0
25农业银行CD327,99.19,1.4313,-0.8,1.431,17.0
22国开08,101.43,1.535,1.0,1.5343,16.9
26厦门国际银行CD002,99.23,1.54,,1.54,16.5
26中信有限SCP001,100.0,1.6099,,1.6099,16.3
26附息国债01,99.96,1.26,-0.5,1.266,16.1
25浦发银行CD099,98.19,1.5004,-0.46,1.5035,16.0
25农业银行CD098,98.07,1.4402,0.1,1.4402,16.0
26渤海银行CD065,99.61,1.54,-0.01,1.5375,16.0
26成都银行CD038,99.23,1.535,,1.535,16.0
22国开15,106.79,1.8175,1.0,1.8186,15.9
