symbol,maturity_date,coupon_rate,frequency,bond_type,coupon_type
25超长特别国债06,2055-08-25,0.0215,半年,国债,
26附息国债02,2056-01-15,0.023799999999999998,半年,国债,
25超长特别国债02,2055-04-25,0.018799999999999997,半年,国债,
25附息国债16,2035-08-25,0.0183,半年,国债,
25附息国债22,2035-11-15,0.0178,半年,国债,
25附息国债25,2032-12-25,0.0166,年,国债,
23附息国债23,2053-10-15,0.03,半年,国债,
24特别国债01,2054-05-20,0.025699999999999997,半年,国债,
18附息国债19,2028-08-16,0.0354,半年,国债,
25附息国债20,2030-10-25,0.0163,年,国债,
23附息国债17,2026-08-15,0.0218,年,国债,
24附息国债01,2029-01-15,0.023700000000000002,年,国债,
25附息国债18,2032-09-15,0.0178,年,国债,
25附息国债24,2027-12-15,0.013600000000000001,年,国债,
25附息国债02,2055-01-15,0.0192,半年,国债,
21附息国债11,2026-08-12,0.0269,年,国债,
25附息国债14,2030-07-25,0.0155,年,国债,
23附息国债11,2026-05-15,0.023,年,国债,
25注资特别国债01,2030-04-25,0.014499999999999999,年,国债,
24特别国债06,2054-09-25,0.0219,半年,国债,
25附息国债23,2028-11-25,0.013999999999999999,年,国债,
17附息国债25,2027-11-02,0.0382,半年,国债,
26附息国债05,2036-02-25,0.0175,半年,国债,
22附息国债22,2027-10-15,0.024399999999999998,年,国债,
24附息国债05,2026-03-15,0.0199,年,国债,
25附息国债10,2028-05-25,0.0146,年,国债,
25附息国债06,2027-03-15,0.0159,年,国债,
24附息国债08,2029-04-15,0.020499999999999997,年,国债,
23附息国债12,2033-05-25,0.026699999999999998,半年,国债,
25超长特别国债03,2075-05-25,0.021,半年,国债,
19附息国债07,2026-06-06,0.0325,年,国债,
24附息国债17,2034-08-25,0.021099999999999997,半年,国债,
25超长特别国债05,2055-07-15,0.019,半年,国债,
23附息国债18,2033-08-25,0.0252,半年,国债,
23附息国债22,2028-10-15,0.0255,年,国债,
25附息国债17,2027-09-15,0.0144,年,国债,
25附息国债07,2032-03-25,0.0179,年,国债,
23附息国债08,2028-04-15,0.0262,年,国债,
25附息国债03,2030-01-25,0.0143,年,国债,
26附息国债03,2031-01-25,0.0154,年,国债,
25附息国债19,2026-10-15,0.0138,年,国债,
21附息国债07,2028-05-13,0.0301,年,国债,
24附息国债13,2031-06-25,0.0212,年,国债,
21附息国债13,2028-10-14,0.0291,年,国债,
20附息国债17,2027-12-03,0.032799999999999996,年,国债,
24附息国债18,2031-09-15,0.0187,年,国债,
26附息国债04,2029-02-25,0.0132,年,国债,
22附息国债27,2029-12-15,0.0279,年,国债,
25附息国债13,2026-07-25,0.013300000000000001,年,国债,
26附息国债01,2027-01-15,0.012199999999999999,年,国债,
25附息国债11,2035-05-25,0.0167,半年,国债,
20抗疫国债02,2027-06-19,0.0271,年,国债,
22附息国债19,2032-09-01,0.026000000000000002,半年,国债,
24附息国债06,2031-03-25,0.022799999999999997,年,国债,
22附息国债03,2032-02-17,0.0275,半年,国债,
19附息国债15,2029-11-21,0.0313,半年,国债,
25超长特别国债04,2045-07-15,0.0192,半年,国债,
20附息国债04,2050-03-16,0.0339,半年,国债,
24附息国债11,2034-05-25,0.0227,半年,国债,
24附息国债25,2031-12-25,0.0149,年,国债,
