symbol,maturity_date,coupon_rate,frequency,bond_type
25国开15,2035-06-18,0.0165,年,政策性金融债
25农发31,2026-09-03,0.0139,到期,政策性金融债
25超长特别国债06,2055-08-25,0.0215,半年,国债
25国开20,2035-09-05,0.0187,年,政策性金融债
25附息国债16,2035-08-25,0.0183,半年,国债
25进出61,2026-11-07,0.0125,季,政策性金融债
25超长特别国债02,2055-04-25,0.0187999999999999,半年,国债
25附息国债18,2032-09-15,0.0178,年,国债
24国开清发02,2027-04-12,0.02,年,政策性金融债
24农发03,2027-03-12,0.0212,年,政策性金融债
22国开03,2027-02-24,0.0265,年,政策性金融债
26农发01,2027-01-19,0.015,到期,政策性金融债
25附息国债22,2035-11-15,0.0178,半年,国债
25国开08,2030-06-13,0.0154,年,政策性金融债
26山东债10,2056-02-02,0.0247,半年,地方政府债
25附息国债23,2028-11-25,0.0139999999999999,年,国债
26光大银行CD012,2027-02-03,0.0,到期,同业存单
22农发02,2027-02-23,0.0274,年,政策性金融债
25附息国债24,2027-12-15,0.0136,年,国债
21附息国债02,2026-03-11,0.0302999999999999,年,国债
25国开03,2030-01-06,0.0127,年,政策性金融债
25国开18,2030-10-22,0.0179,年,政策性金融债
25国开11,2026-09-09,0.0153,到期,政策性金融债
25进出06,2026-06-16,0.0125,年,政策性金融债
26附息国债02,2056-01-15,0.0237999999999999,半年,国债
25附息国债03,2030-01-25,0.0143,年,国债
25中国银行CD040,2026-07-15,0.0,到期,同业存单
25农发30,2035-08-07,0.0182,年,政策性金融债
17国开10,2027-04-10,0.0404,年,政策性金融债
25电网MTN048(科创债),2031-06-29,0.0204999999999999,年,中期票据
25国开02,2027-05-28,0.0152,年,政策性金融债
26山东债11,2041-02-02,0.0231,半年,地方政府债
25附息国债20,2030-10-25,0.0163,年,国债
24国开08,2029-07-24,0.0185,年,政策性金融债
24附息国债01,2029-01-15,0.0237,年,国债
26贴现国债03,2026-03-11,0.0,到期,国债
24进出03,2027-04-12,0.0200999999999999,年,政策性金融债
24特别国债06,2054-09-25,0.0219,半年,国债
25农发清发02,2027-02-12,0.0144,年,政策性金融债
25农发清发12,2027-04-16,0.016,年,政策性金融债
25附息国债17,2027-09-15,0.0144,年,国债
25超长特别国债03,2075-05-25,0.021,半年,国债
21国开03,2026-03-03,0.033,年,政策性金融债
25中行二级资本债02BC,2035-11-26,0.0216,年,二级资本工具
23附息国债23,2053-10-15,0.03,半年,国债
25附息国债15,2028-08-15,0.0141999999999999,年,国债
25附息国债25,2032-12-25,0.0166,年,国债
25附息国债11,2035-05-25,0.0167,半年,国债
26附息国债01,2027-01-15,0.0121999999999999,年,国债
26山东债17,2056-02-02,0.0247,半年,地方政府债
25国开清发07,2028-09-12,0.0179,年,政策性金融债
23国开08,2028-05-25,0.0252,年,政策性金融债
23国开03,2028-01-11,0.0273,年,政策性金融债
26贴现国债05,2026-04-16,0.0,到期,国债
25工商银行CD032,2026-02-12,0.0,到期,同业存单
25浦发银行CD288,2026-11-04,0.0,到期,同业存单
19附息国债16,2026-12-05,0.0312,年,国债
25农发23,2028-08-07,0.0161,年,政策性金融债
20进出07,2027-02-24,0.0326,年,政策性金融债
25工商银行CD283,2026-12-25,0.0,到期,同业存单
25中信银行CD271,2026-02-27,0.0,到期,同业存单
23浙江债09,2033-04-03,0.0296,半年,地方政府债
25工商银行CD035,2026-02-13,0.0,到期,同业存单
25附息国债02,2055-01-15,0.0192,半年,国债
24中行二级资本债01A,2034-02-01,0.0278,年,二级资本工具
26贴现国债06,2026-04-23,0.0,到期,国债
23进出10,2033-02-13,0.031,年,政策性金融债
24特别国债04,2054-07-25,0.0247,半年,国债
25国开05,2035-01-03,0.0157,年,政策性金融债
25附息国债14,2030-07-25,0.0155,年,国债
24附息国债14,2029-07-15,0.0191,年,国债
25浦发银行CD101,2026-04-08,0.0,到期,同业存单
25国开10,2035-04-02,0.018,年,政策性金融债
25国开06,2026-04-02,0.0154,年,政策性金融债
24国开03,2029-02-22,0.023,年,政策性金融债
25超长特别国债05,2055-07-15,0.019,半年,国债
25工商银行CD224,2026-07-17,0.0,到期,同业存单
21国开08,2026-09-10,0.0283,年,政策性金融债
25农发21,2026-06-11,0.0137,到期,政策性金融债
25农业银行CD326,2026-09-22,0.0,到期,同业存单
21附息国债14,2051-10-18,0.0353,半年,国债
26辽宁债02,2056-01-16,0.0250999999999999,半年,地方政府债
25农业银行CD221,2026-07-21,0.0,到期,同业存单
21建设银行二级01,2031-08-10,0.0345,年,二级资本工具
17进出03,2027-03-20,0.0411,年,政策性金融债
23附息国债25,2026-11-15,0.0239,年,国债
22国开08,2027-06-16,0.0269,年,政策性金融债
18农发06,2028-05-11,0.0465,年,政策性金融债
24附息国债18,2031-09-15,0.0187,年,国债
25工行二级资本债01BC,2035-03-03,0.0204999999999999,年,二级资本工具
25附息国债13,2026-07-25,0.0133,年,国债
26工商银行CD020,2027-01-19,0.0,到期,同业存单
25浦发银行CD292,2026-02-12,0.0,到期,同业存单
24国开02,2027-01-05,0.0233999999999999,年,政策性金融债
25兴业银行CD282,2026-03-18,0.0,到期,同业存单
19附息国债07,2026-06-06,0.0325,年,国债
21农发05,2031-05-24,0.0352,年,政策性金融债
24建行二级资本债01A,2034-02-05,0.0275,年,二级资本工具
26山东债14,2041-02-02,0.023,半年,地方政府债
25进出13,2028-07-11,0.0139999999999999,年,政策性金融债
26山东债16,2041-02-02,0.0231,半年,地方政府债
23附息国债17,2026-08-15,0.0218,年,国债
25附息国债05,2028-02-25,0.0144999999999999,年,国债
25中信银行CD407,2026-03-31,0.0,到期,同业存单
26交通银行CD011,2027-01-13,0.0,到期,同业存单
25农业银行CD444,2026-06-24,0.0,到期,同业存单
26宁波债07,2056-01-09,0.0249,半年,地方政府债
25中行二级资本债01BC,2035-05-26,0.0192999999999999,年,二级资本工具
23国开10,2033-05-22,0.0282,年,政策性金融债
24进出13,2027-09-13,0.0167,年,政策性金融债
24农行二级资本债01B,2039-02-06,0.0279999999999999,年,二级资本工具
20附息国债17,2027-12-03,0.0327999999999999,年,国债
19国开15,2029-09-20,0.0345,年,政策性金融债
25工行二级资本债02BC,2035-04-30,0.0197999999999999,年,二级资本工具
25农发13,2028-04-15,0.0159,年,政策性金融债
25中信银行CD268,2026-02-26,0.0,到期,同业存单
17附息国债25,2027-11-02,0.0382,半年,国债
17附息国债10,2027-05-04,0.0352,半年,国债
23进出03,2026-04-14,0.0264,年,政策性金融债
25农行二级资本债04A(BC),2035-11-20,0.0214,年,二级资本工具
25建行二级资本债03BC,2035-12-08,0.0224,年,二级资本工具
25农发11,2026-04-09,0.0157,到期,政策性金融债
24国开15,2034-07-19,0.0226,年,政策性金融债
24中行二级资本债01B,2039-02-01,0.0285,年,二级资本工具
23汇金MTN006A,2026-10-27,0.0279999999999999,年,中期票据
24工行二级资本债01A(BC),2034-08-29,0.0225,年,二级资本工具
26中信银行CD025,2027-01-22,0.0,到期,同业存单
25中信银行CD083,2026-03-10,0.0,到期,同业存单
24附息国债11,2034-05-25,0.0227,半年,国债
23农行二级资本债01B,2038-03-23,0.0361,年,二级资本工具
26湖北债09,2056-01-13,0.0249,半年,地方政府债
24建行二级资本债01B,2039-02-05,0.0282,年,二级资本工具
23建行二级资本债01B,2038-03-28,0.0361,年,二级资本工具
23农行二级资本债02B,2038-09-14,0.0335,年,二级资本工具
