曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债国债收益率曲线,2006-03-01,1.505,1.5891,1.68,2.0052,2.364,2.65,2.9,3.5
中债国债收益率曲线,2006-03-02,1.465,1.52,1.69,2.02,2.44,2.66,2.9,3.51
中债国债收益率曲线,2006-03-03,1.455,1.51,1.68,2.0,2.42,2.64,2.87,3.5
中债国债收益率曲线,2006-03-06,1.5,1.56,1.73,2.04,2.46,2.68,2.93,3.54
中债国债收益率曲线,2006-03-07,1.465,1.53,1.71,2.02,2.43,2.65,2.9,3.52
中债国债收益率曲线,2006-03-08,1.45,1.52,1.69,2.01,2.4,2.61,2.88,3.48
中债国债收益率曲线,2006-03-09,1.455,1.53,1.68,2.01,2.39,2.61,2.88,3.48
中债国债收益率曲线,2006-03-10,1.46,1.53,1.67,2.02,2.4,2.61,2.89,3.48
中债国债收益率曲线,2006-03-13,1.47,1.54,1.68,2.03,2.41,2.61,2.9,3.48
中债国债收益率曲线,2006-03-14,1.48,1.55,1.69,2.02,2.4,2.61,2.9,3.49
中债国债收益率曲线,2006-03-15,1.5,1.57,1.71,2.03,2.4,2.6,2.91,3.5
中债国债收益率曲线,2006-03-16,1.51,1.58,1.72,2.02,2.39,2.6,2.91,3.51
中债国债收益率曲线,2006-03-17,1.49,1.56,1.7,2.01,2.37,2.59,2.92,3.5
中债国债收益率曲线,2006-03-20,1.51,1.58,1.71,2.02,2.38,2.6,2.93,3.52
中债国债收益率曲线,2006-03-21,1.5,1.57,1.7,2.01,2.37,2.59,2.92,3.51
中债国债收益率曲线,2006-03-22,1.515,1.58,1.71,2.03,2.385,2.6,2.93,3.52
中债国债收益率曲线,2006-03-23,1.51,1.6,1.69,2.1,2.49,2.71,2.912,3.53
中债国债收益率曲线,2006-03-24,1.49,1.58,1.68,2.0898,2.48,2.723,2.9,3.52
中债国债收益率曲线,2006-03-27,1.5,1.61,1.7141,2.15,2.5537,2.66,2.92,3.52
中债国债收益率曲线,2006-03-28,1.4856,1.6,1.7003,2.1058,2.5631,2.65,2.92,3.52
中债国债收益率曲线,2006-03-29,1.4932,1.62,1.7029,2.19,2.5605,2.67,2.94,3.5
中债国债收益率曲线,2006-03-30,1.51,1.64,1.72,2.1404,2.4655,2.67,2.94,3.5
中债国债收益率曲线,2006-03-31,1.5095,1.64,1.71,2.1355,2.5669,2.68,2.94,3.5
中债国债收益率曲线,2006-04-03,1.5023,1.64,1.72,1.9968,2.4687,2.6847,2.92,3.52
中债国债收益率曲线,2006-04-04,1.4889,1.6154,1.7254,2.0001,2.4804,2.722,2.92,3.53
中债国债收益率曲线,2006-04-05,1.485,1.6,1.702,2.1657,2.4963,2.67,2.91,3.51
中债国债收益率曲线,2006-04-06,1.4725,1.58,1.6916,2.1731,2.4873,2.67,2.94,3.5
中债国债收益率曲线,2006-04-07,1.45,1.55,1.64,2.05,2.48,2.69,2.9291,3.5
中债国债收益率曲线,2006-04-10,1.45,1.55,1.6551,2.1091,2.5678,2.69,2.93,3.51
中债国债收益率曲线,2006-04-11,1.47,1.57,1.6661,2.1549,2.5816,2.7069,2.97,3.53
中债国债收益率曲线,2006-04-12,1.49,1.59,1.6892,2.1656,2.5865,2.713,2.98,3.5483
中债国债收益率曲线,2006-04-13,1.48,1.57,1.7,2.1577,2.5866,2.72,2.9405,3.55
中债国债收益率曲线,2006-04-14,1.49,1.58,1.7083,2.1731,2.6051,2.73,2.95,3.55
中债国债收益率曲线,2006-04-17,1.515,1.6,1.705,2.2,2.6369,2.75,2.94,3.58
中债国债收益率曲线,2006-04-18,1.545,1.64,1.7077,2.25,2.6293,2.78,3.01,3.602
中债国债收益率曲线,2006-04-19,1.545,1.63,1.7,2.24,2.6365,2.777,3.01,3.602
中债国债收益率曲线,2006-04-20,1.535,1.62,1.7074,2.2694,2.6029,2.7718,3.0,3.6
中债国债收益率曲线,2006-04-21,1.545,1.62,1.72,2.2471,2.605,2.76,3.048,3.6
中债国债收益率曲线,2006-04-24,1.555,1.62,1.7023,2.2738,2.6076,2.7248,3.05,3.6
中债国债收益率曲线,2006-04-25,1.56,1.63,1.7205,2.2757,2.6217,2.7888,3.06,3.65
中债国债收益率曲线,2006-04-26,1.5683,1.65,1.7,2.2709,2.62,2.79,3.05,3.65
中债国债收益率曲线,2006-04-27,1.54,1.63,1.7331,2.2714,2.6,2.78,3.01,3.6
中债国债收益率曲线,2006-04-28,1.52,1.62,1.721,2.28,2.56,2.74,3.01,3.6
中债国债收益率曲线,2006-04-29,1.5396,1.65,1.7192,2.2595,2.5579,2.73,3.0,3.6
中债国债收益率曲线,2006-04-30,1.53,1.63,1.725,2.24,2.54,2.72,3.0,3.6
中债国债收益率曲线,2006-05-08,1.542,1.65,1.71,2.24,2.543,2.75,3.02,3.6
中债国债收益率曲线,2006-05-09,1.52,1.63,1.71,2.22,2.52,2.72,3.0,3.58
中债国债收益率曲线,2006-05-10,1.495,1.6,1.6883,2.2341,2.5392,2.7,3.0,3.6
中债国债收益率曲线,2006-05-11,1.5199,1.62,1.6944,2.189,2.52,2.6471,3.0,3.55
中债国债收益率曲线,2006-05-12,1.535,1.64,1.74,2.2131,2.55,2.7104,3.02,3.575
中债国债收益率曲线,2006-05-15,1.56,1.65,1.77,2.2218,2.57,2.7045,3.03,3.6
中债国债收益率曲线,2006-05-16,1.57,1.68,1.78,2.2255,2.48,2.7269,3.02,3.62
中债国债收益率曲线,2006-05-17,1.545,1.65,1.75,2.24,2.45,2.7,3.0,3.6
中债国债收益率曲线,2006-05-18,1.552,1.66,1.7401,2.25,2.45,2.71,3.0,3.6
中债国债收益率曲线,2006-05-19,1.549,1.66,1.7379,2.23,2.45,2.7,2.99,3.62
中债国债收益率曲线,2006-05-22,1.5747,1.68,1.7293,2.25,2.45,2.71,3.0,3.62
中债国债收益率曲线,2006-05-23,1.5807,1.68,1.722,2.27,2.46,2.73,3.02,3.65
中债国债收益率曲线,2006-05-24,1.5701,1.67,1.7206,2.25,2.45,2.67,3.0,3.62
中债国债收益率曲线,2006-05-25,1.5453,1.65,1.7299,2.25,2.46,2.67,3.0,3.6
中债国债收益率曲线,2006-05-26,1.5431,1.65,1.7306,2.25,2.45,2.67,3.0,3.596
中债国债收益率曲线,2006-05-29,1.545,1.65,1.7316,2.24,2.46,2.69,3.03,3.63
中债国债收益率曲线,2006-05-30,1.5425,1.65,1.7357,2.23,2.45,2.68,3.02,3.63
中债国债收益率曲线,2006-05-31,1.5475,1.655,1.7373,2.24,2.45,2.7,3.02,3.62
中债国债收益率曲线,2006-06-01,1.5628,1.67,1.7451,2.25,2.46,2.75,3.03,3.63
中债国债收益率曲线,2006-06-02,1.5825,1.69,1.7745,2.28,2.48,2.76,3.05,3.65
中债国债收益率曲线,2006-06-05,1.6059,1.72,1.798,2.32,2.5,2.75,3.03,3.66
